Object,X,Y,Z
box(9),0.6022815323329644,-0.25768422167273464,1.05
box(8),0.34757925936174633,-0.13700809047722584,1.05
box(7),0.5907743915098871,0.4486699010870554,1.05
box(6),0.6418372365472478,-0.49235680512333935,1.05
box(5),0.3288362891954965,0.2430918896468215,1.05
box(4),0.6452695291341582,-0.10547221171991528,1.05
box(3),0.40044240122262054,0.10785493524681278,1.05
box(2),0.5216052805430977,0.24579064135597695,1.05
box(1),0.4406481989607549,-0.32841653637417567,1.05
box(0),0.31228248962020333,-0.4481266150491703,1.05
box(9),0.4194096829457888,0.3917600382327854,1.05
box(8),0.6231168896123143,-0.31052713565888035,1.05
box(7),0.4186301058834361,-0.07377977893533194,1.05
box(6),0.578868523171792,0.4060996112530565,1.05
box(5),0.5676620719490753,-0.49144361606347964,1.05
box(4),0.5609286048184676,0.04914458408376776,1.05
box(3),0.5168678274408759,-0.19188089451749302,1.05
box(2),0.32082258388151746,-0.1914061465045772,1.05
box(1),0.5046407796146856,0.23958582030515885,1.05
box(0),0.3871863719576592,0.09302440619294383,1.05
box(9),0.3244077239934975,-0.4048353352357651,1.05
box(8),0.3465439504296307,0.2761974482005596,1.05
box(7),0.3858452165593196,0.48905233448689034,1.05
box(6),0.5780153744232881,-0.3410415800938482,1.05
box(5),0.6426654080532715,0.31587224391920976,1.05
box(4),0.5447361366743997,0.4498210755827504,1.05
box(3),0.6458486555759739,0.14446856482809844,1.05
box(2),0.4579029849068159,-0.057066523253742396,1.05
box(1),0.6108424063275465,-0.17433592471035486,1.05
box(0),0.46437475290833324,-0.2176682311198055,1.05
box(9),0.6411342342810202,-0.49254756082995177,1.05
box(8),0.416441509302384,-0.413839190585519,1.05
box(7),0.4916499702360322,0.15827308337661627,1.05
box(6),0.3380237870779241,0.2780492809224706,1.05
box(5),0.3044218876684107,-0.12731386142877998,1.05
box(4),0.3723592533658545,0.45971810519971845,1.05
box(3),0.5239131060861888,0.32248080959962844,1.05
box(2),0.34742112622905963,0.07990021651089652,1.05
box(1),0.5649265578640026,-0.005445551481314093,1.05
box(0),0.6115047590923034,-0.2507569367284156,1.05
box(9),0.45785483678762706,-0.2524578224842652,1.05
box(8),0.5892419210998867,-0.41204296824630393,1.05
box(7),0.6450021743034262,0.20723993356480408,1.05
box(6),0.31344154643775535,-0.46014702252753026,1.05
box(5),0.4969616722703074,0.1532828882122601,1.05
box(4),0.30253064565461146,0.2519328965026858,1.05
box(3),0.5774789710436659,0.4944465194551576,1.05
box(2),0.3927943314814505,0.4960729694524847,1.05
box(1),0.34223663467280463,-0.11124770067946932,1.05
box(0),0.3518885757580179,0.05294854108008029,1.05
box(9),0.5334754882701562,-0.025629591723146272,1.05
box(8),0.5553996686068985,0.34168426786714634,1.05
box(7),0.47136630821619535,-0.37483579167000247,1.05
box(6),0.6465614832740374,-0.2154540356231247,1.05
box(5),0.30481080003386224,-0.41727556725773707,1.05
box(4),0.6020950776854178,-0.47643653156053367,1.05
box(3),0.5881829087124091,0.19189755888131477,1.05
box(2),0.3756272933038136,0.3348743788150492,1.05
box(1),0.475455000761282,0.4959242263443998,1.05
box(0),0.3897008390487455,-0.18467324433293453,1.05
box(9),0.3064584291427084,0.1521341933956174,1.05
box(8),0.42638431562424217,0.019671244402696964,1.05
box(7),0.593071399033063,0.02439032953732534,1.05
box(6),0.47247168105423154,-0.37754263310162484,1.05
box(5),0.6414696362457692,-0.14354979705502968,1.05
box(4),0.5436882102601694,0.3375978756555379,1.05
box(3),0.3021983708344175,-0.4975953136986787,1.05
box(2),0.6296960572467118,0.4866453615503792,1.05
box(1),0.4434139922360849,0.22488628682853817,1.05
box(0),0.609937614288415,-0.4991017873051865,1.05
box(9),0.33099673533829854,-0.2460517999906121,1.05
box(8),0.32612137883154263,0.4870041901020511,1.05
box(7),0.32063440797589515,0.03197220174448123,1.05
box(6),0.5440421467612186,-0.0009599645653369793,1.05
box(5),0.6312948530635432,0.20696256940161528,1.05
box(4),0.4960588085799285,-0.16319469590705382,1.05
box(3),0.47378563641643545,0.42501720131527965,1.05
box(2),0.4512289804696289,-0.39587031215659885,1.05
box(1),0.6493834032711421,0.43105945401396517,1.05
box(0),0.6456488370017983,-0.29035513141640457,1.05
box(9),0.5812711824331751,-0.4891261705406553,1.05
box(8),0.32781302440418186,-0.20828976308882385,1.05
box(7),0.32076145401411477,0.19063814158023096,1.05
box(6),0.3248695670418658,0.4433329172427197,1.05
box(5),0.44704708809753024,0.27617116507930695,1.05
box(4),0.5530961277382456,0.12838212513293068,1.05
box(3),0.5200147450585072,-0.07154372237820061,1.05
box(2),0.37862155836220385,0.03261784843926496,1.05
box(1),0.3277492672323585,-0.42130204973002483,1.05
box(0),0.4977036820324998,-0.32478246515938924,1.05
box(9),0.5836832946480432,0.46745571805873554,1.05
box(8),0.6440258995682322,-0.22462755458977757,1.05
box(7),0.34022325177729384,-0.17071723612851764,1.05
box(6),0.5861880293465321,-0.4461740633647965,1.05
box(5),0.6081678556956118,0.3014333341087344,1.05
box(4),0.45345202064557055,0.3629296648507577,1.05
box(3),0.5519306489644975,0.08975355882213076,1.05
box(2),0.4877449365598391,-0.1355078547451628,1.05
box(1),0.3469531600687011,0.20545500769292835,1.05
box(0),0.41631087243241127,0.009082505451037393,1.05
box(9),0.3068519280114456,-0.3299171258139545,1.05
box(8),0.3832731033143748,-0.46409476091771196,1.05
box(7),0.6358075312156409,-0.18463891909793995,1.05
box(6),0.6220207699722593,0.4741741067171844,1.05
box(5),0.64843028957249,-0.35968174615381165,1.05
box(4),0.6375175093140572,0.30851084721547295,1.05
